DATA;AUTORE;LEGA;M5S;PD;FI;FDI;SINISTRA;PIUEUR;ALTRI
07/01/2019;SWG spa;32,2;26,3;17,3;8,3;3,8;5;2,9;4,2
18/01/2019;Sondaggi Bidimedia - Bi3;32,3;24,2;18;8,3;3,6;1,5;4,2;7,9
21/01/2019;SWG spa;31,5;25,7;17,9;8,6;4,4;5,1;3;3,8
28/01/2019;SWG spa;32,6;24,9;17,2;8,1;4,5;6,2;2,9;3,6
30/01/2019;Istituto Piepoli;30;27,5;17;10,5;4,5;3;2,5;5
04/02/2019;SWG spa;33,8;24;16,8;8,3;4,3;6,4;3,1;3,3
11/02/2019;SWG spa;33,8;23,3;17,5;8,5;4,6;6,1;3,1;3,1
12/02/2019;Sondaggi Bidimedia - Bi3;32,5;24;18,2;8,4;3,8;1,6;3,5;8
14/02/2019;Istituto Piepoli;30,5;27;17,5;10;5;3,5;2,5;4
18/02/2019;SWG spa;33,5;22,1;18,6;9;4,5;6,3;2,9;3,1
25/02/2019;SWG spa;33,2;22,6;18,5;8,7;4,3;6,3;3,1;3,3
26/02/2019;Euromedia Research;34,6;21,8;18,6;11;4,7;1,9;3,7;3,7
26/02/2019;Istituto Piepoli;31,5;25;18,5;11;4,5;1,5;3,5;4,5
02/03/2019;Ipsos srl;35,9;21,2;18,5;8,6;4;2,4;4;5,4
04/03/2019;SWG spa;33,4;22,1;19,8;8,8;4,4;5,5;3;3
06/03/2019;Sondaggi Bidimedia - Bi3;33,2;22;18,6;9;4,2;4,8;3,4;4,8
11/03/2019;SWG spa;33,7;21,8;20,3;8,9;4,1;5,7;2,8;2,7
15/03/2019;Istituto Piepoli;31,5;24,5;19;11;4;2,5;3,5;4
18/03/2019;SWG spa;33,9;21;21,1;8,6;4,4;5,5;3;2,5
21/03/2019;Euromedia Research;33,1;19,8;20,7;11,4;4,7;2,2;3,6;4,5
24/03/2019;Sondaggi Bidimedia - Bi3;33;21,1;21,2;9,7;4,1;3;2,7;5,2
25/03/2019;SWG spa;33,4;21,3;21;8,7;4,7;5,5;2,9;2,5
01/04/2019;SWG spa;32,9;22,2;20,8;9;4,6;4,6;2,9;3
04/04/2019;Euromedia Research;31,4;19,4;20,1;11,1;5,4;3,9;3,8;4,9
04/04/2019;Istituto Piepoli;30,5;22,5;20;10,5;5;3;3;5,5
07/04/2019;Ipsos srl;35,7;23,3;19;9,9;4;2,7;3,1;2,3
13/04/2019;Sondaggi Bidimedia - Bi3;32,3;21,5;21,5;10,1;4,8;4,4;3,3;2,1
15/04/2019;SWG spa;32,3;22,5;21,5;8,9;4,8;4,1;3,3;2,6
17/04/2019;Euromedia Research;33;20,8;19,5;10,6;5,5;4,2;3,8;2,6
17/04/2019;Istituto Piepoli;31;22,5;20,5;10,5;5,5;3,5;3;3,5
18/04/2019;IndexResearch;32,9;21,7;19,8;9,2;4,8;4,4;3,1;4,1
23/04/2019;Demopolis - Istituto di Ricerche;33;22;21;8;5;;3,2;7,8
23/04/2019;SWG spa;32,3;22,3;22;8,4;4,8;5;3;2,2
02/05/2019;Euromedia Research;32,4;20,6;20,3;10,3;5,3;2,9;3,8;4,4
02/05/2019;IndexResearch;32,8;22;20,5;9,3;5;4,4;3,1;2,9
02/05/2019;Istituto Piepoli;31;22;20,5;10;5,5;3;3,5;4,5
06/05/2019;SWG spa;30,7;22,7;22,2;9,1;4,6;4,6;2,7;3,4
09/05/2019;Demopolis - Istituto di Ricerche;31;23;22,2;8,4;5,5;2,8;3,2;3,9
09/05/2019;Euromedia Research;29,6;21,5;21,9;10,1;5,3;3,3;3,5;4,8
09/05/2019;IndexResearch;32,4;22,3;21,1;9,2;5;4,4;3;2,6
09/05/2019;Istituto Piepoli;30,5;22;21;10;5;3;3,5;5
10/05/2019;Demos&Pi e Demetra;32,2;22,6;20,4;9,5;4,7;3,1;4,1;3,4
10/05/2019;Ipsos srl;30,9;24,9;20,5;7,8;5,7;3,9;3,2;3,1
10/05/2019;Sondaggi Bidimedia - Bi3;32,2;22,4;21,2;9;4,7;4,7;3;2,8
10/05/2019;SWG spa;30,5;22,7;22,5;9,4;4,7;4,4;2,6;3,2
